id	Cancer1	Cancer2	Normal1	Normal2
ENSG00000006451	13366.6159256	10629.8816884	7799.80602874	5318.05022429
ENSG00000006453	443.220988953	1201.93323801	1933.79956358	631.002992244
ENSG00000006459	81072.9781215	95124.920475	138368.386612	46465.6974551
ENSG00000006468	105.087662335	8430.1492223	57.4214506441	6902.59139852
ENSG00000006530	30475.4284491	24303.2386576	16088.8083718	22221.4216131
ENSG00000006534	10468.016638	3233.65704584	3904.81681272	3457.99787107
ENSG00000006555	1889.87790782	3542.15809241	7465.10791794	2090.05459757
ENSG00000006576	50760.4100834	24502.4857006	16840.9863238	14731.8567113
ENSG00000006606	0.09429390004	0.0940800739004	0.0937749224543	0.0939062784942
ENSG00000006607	50607.3565215	80674.736893	72489.8697963	43090.4101003
ENSG00000006611	0.402065782437	0.384807016704	0.737050635989	0.595952403761
ENSG00000006625	1997.43858941	1723.2235097	960.803080353	838.368142379
ENSG00000006634	38113.3945417	23957.8529958	48468.3147913	18438.2532171
ENSG00000006638	1842.2494221	970.049049015	3432.94507001	1114.22295042
ENSG00000006652	678689.082587	241103.638652	632298.576307	939276.076915
ENSG00000006659	334.857905058	110.724283551	82.9296979376	156.247715741
ENSG00000006695	8150.02932272	7083.96286814	4955.47711379	2020.16760157
ENSG00000006704	1305.19581959	2036.27909534	975.751346599	1363.53207422
ENSG00000006712	44145.4191477	40088.6246037	35531.097086	35584.5445308
ENSG00000006715	46231.0790946	56056.8202705	63803.2173487	65398.3516087
ENSG00000006740	12999.5412389	759.468783569	7412.38012556	10831.8118015
ENSG00000006744	59621.4704445	45774.1851157	38666.9996716	25179.8764181
ENSG00000006747	4655.31922022	5050.05694962	9484.96146291	4241.83010394
ENSG00000006756	1532.97785877	1524.55984778	6032.35081269	2334.48318268
ENSG00000006757	2993.12472694	3707.34439968	2134.57610192	2684.90160926
ENSG00000006788	4.61558352275	3.88167279205	98.9914677885	2.15048538226
ENSG00000006831	44013.5792087	26764.3314194	19573.2360906	19766.822436
ENSG00000006837	2060.07169047	1871.77272947	1516.55051979	1085.67619989
ENSG00000007001	35.4180219686	41.052672847	26.788631373	34.5118298539
ENSG00000007038	11.1367064656	26.8419436416	11.5068825258	66.7285110358
ENSG00000007047	13392.6183907	20755.9587929	18940.6196004	21651.7553466
ENSG00000007062	7.16225621458	29.6399329393	32.0281679812	51.2342531953
ENSG00000007080	9459.21785124	8368.52019604	8097.53090893	11712.8394102
ENSG00000007129	4359.9157526	4734.64056559	3449.14016448	7987.2215549
ENSG00000007168	170300.733102	182855.034912	124912.571155	109547.140186
ENSG00000007171	4.7967361658	13.5308811427	7.56306220047	6.67275791915
ENSG00000007174	80.5862353539	126.156525645	182.057886144	114.352905348
ENSG00000007202	348131.395902	315096.642635	238819.925817	356686.605089
ENSG00000007216	0.23601575927	0.438179463793	0.22291828725	0.224534325263
ENSG00000007237	809.511342477	968.938760948	982.992395778	1021.74113567
ENSG00000007255	7647.92593109	5514.80932632	8053.46484657	11201.0928145
ENSG00000007264	140.476371259	274.234319521	387.101395006	253.872109932
ENSG00000007306	0.229093530053	0.222234028341	0.214188810674	0.216799255038
ENSG00000007312	56468.1716466	20338.8172331	41649.8398594	25704.2552051
ENSG00000007314	1017.3364982	143.050182212	151.685604591	175.748995688
ENSG00000007341	12158.5145725	8020.33270314	16105.2270611	6214.35525449
ENSG00000007350	7.30301659014	22.9375039768	9.37886511998	10.548840562
ENSG00000007372	1819.18710649	2226.85998038	1724.16970571	910.196896034
ENSG00000007376	13346.2419365	5378.4773111	6643.65578059	13397.729178
ENSG00000007384	915.388390298	503.117005521	403.983449835	276.250357117
ENSG00000007392	52355.7037626	55482.0919056	88154.1095888	84866.7213035
ENSG00000007402	1328.04055698	4511.67973213	1275.48825035	405.263178006
ENSG00000007516	2974.92521577	6280.63174975	5118.08032774	3529.87391864
ENSG00000007520	7414.14395664	9165.53836416	10470.0085772	14172.458912
ENSG00000007541	34211.2137251	33518.1671112	20567.1148811	48728.2310365
ENSG00000007545	7632.65059335	29185.4048772	26968.5672164	28621.1369667
ENSG00000007866	2203.69384653	1494.75322277	671.277086434	1099.27080251
